hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Milton,GA,"Milton, GA",10,1351670,40487,4722,136020,11.7,0.2
Morrow,GA,"Morrow, GA",1,1353004,6572,2663,70075,40.5,0.2
Moultrie,GA,"Moultrie, GA",3,1353060,14621,6139,33929,42,0.2
Roswell,GA,"Roswell, GA",18,1367284,92688,11565,111214,12.5,0.2
Sandersville,GA,"Sandersville, GA",1,1368208,5774,3540,37476,61.3,0.2
Thomasville,GA,"Thomasville, GA",3,1376224,18844,10528,44063,55.9,0.2
Tifton,GA,"Tifton, GA",3,1376476,17112,5624,37319,32.9,0.2
Toccoa,GA,"Toccoa, GA",2,1376756,9048,1553,48039,17.2,0.2
Valdosta,GA,"Valdosta, GA",9,1378800,55417,31212,35188,56.3,0.2
Waycross,GA,"Waycross, GA",3,1380956,13898,7963,31151,57.3,0.2
Woodstock,GA,"Woodstock, GA",6,1384176,33857,3329,92648,9.8,0.2
Gonzales,LA,"Gonzales, LA",2,2229850,12080,6021,59108,49.8,0.2
Jennings,LA,"Jennings, LA",2,2238355,9836,2245,37301,22.8,0.2
Kaplan,LA,"Kaplan, LA",1,2239055,4384,386,52783,8.8,0.2
Monroe,LA,"Monroe, LA",10,2251410,48105,28717,33925,59.7,0.2
Natchitoches,LA,"Natchitoches, LA",3,2253545,18105,10579,28401,58.4,0.2
New Roads,LA,"New Roads, LA",1,2255105,4516,2572,42887,57,0.2
