School,Name,Position,Class,Hometown,High School
University of Maryland,Corey Dyches,TE,R-Jr.,"Oxon Hill, MD",Potomac
University of Maryland,Ja'Quan Sheppard,DB,Sr.,"Zephyrhills, FL",Zephyrhills
University of Maryland,Taulia Tagovailoa,QB,R-Sr.,"Ewa Beach, HI",Thompson
University of Maryland,Shaleak Knotts,WR,So.,"Monroe, NC",Monroe
University of Maryland,Tarheeb Still,DB,Sr.,"Sicklerville, NJ",Timber Creek Regional
University of Maryland,Quashon Fuller,DL,R-Jr.,"Fort Myers, FL",Lehigh Senior
University of Maryland,Octavian Smith Jr.,WR,So.,"Burtonsville, MD",Paint Branch
University of Maryland,Corey Coley Jr.,DB,Jr.,"Jacksonville, FL",Trinity Christian Academy
University of Maryland,Jeshaun Jones,WR,Gr.,"Fort Myers, FL",South Fort Myers
University of Maryland,Tommy Akingbesote,DL,Jr.,"Largo, MD",Charles Herbert Flowers
University of Maryland,Antwain  Littleton II,RB,R-So.,"Greenbelt, MD",St. John’s College
University of Maryland,Ramon Brown,RB,So.,"Richmond, VA",Manchester
University of Maryland,Jordan Phillips,DL,R-Fr.,"Ocoee, FL",Ocoee
University of Maryland,Billy Edwards Jr.,QB,R-So.,"Springfield, VA",Lake Braddock
University of Maryland,Fa'Najae Gotay,LB,R-Sr.,"Fort Myers, FL",North Fort Myers
University of Maryland,Tai Felton,WR,Jr.,"Ashburn, VA",Stone Bridge
University of Maryland,Ruben Hyppolite II,LB,Sr.,"Fort Lauderdale, Fla.",McArthur
University of Maryland,Ryan Manning,WR,Fr.,"Glenn Dale, MD",St. Frances Academy
University of Maryland,Cameron Edge,QB,R-Fr.,"Clayton, DE",Smyrna
University of Maryland,Dante Trader Jr.,DB,Jr.,"Delmar, DE",McDonogh
University of Maryland,Glendon Miller,DB,R-Jr.,"Orange Park, FL",Ridgeview
University of Maryland,Jayden Sauray,QB,R-Fr.,"Lanham, MD",Wise
University of Maryland,Tamarcus Cooley,DB,Fr.,"Knightdale, NC",Rolesville
University of Maryland,Champ Long,QB,Fr.,"Jersey City, NJ",St. Peters Prep
University of Maryland,Riyad Wilmot,LB,R-Jr.,"Ft. Lauderdale, FL",St. Thomas Aquinas
University of Maryland,Leon Haughton Jr.,WR,So.,"Richmond, VA",Benedictine College Prep
University of Maryland,Daniel Wingate,LB,Fr.,"Bowie, MD",St. Vincent Pallotti
University of Maryland,Rico Walker,TE,Fr.,"Hickory, NC",Hickory
University of Maryland,Lionell Whitaker,DB,So.,"Miami, FL",Rickards
University of Maryland,Alex Moore,DB,Fr.,"Beltsville, MD",St. Vincent Pallotti
University of Maryland,Dylan Wade,TE,Fr.,"Ocoee, FL",Jones
University of Maryland,Donnell Brown,DL,Jr.,"Upper Marlboro, MD",Riverdale Baptist
University of Maryland,Braeden Wisloski,WR,Fr.,"Elysburg, PA",Southern Columbia Area
University of Maryland,Perry Fisher,DB,R-Fr.,"Tallahassee, FL",Lincoln
University of Maryland,Gereme Spraggins,LB,Sr.,"Baltimore, MD",Arundel
University of Maryland,Sean Williams,WR,Fr.,"Washington, DC",St. John's College
University of Maryland,Ezekiel Avit,WR,Fr.,"Potomac, MD",Churchill
University of Maryland,Sean Greeley,LB,Sr.,"Havre de Grace, MD",Havre de Grace
University of Maryland,Colby McDonald,RB,Jr.,"Accokeek, MD",St. John’s College
University of Maryland,Avantae Williams,DB,Jr.,"Deland, FL",Deland
University of Maryland,Chantz Harley,DB,R-So.,"Upper Marlboro, MD",Landon School
University of Maryland,Roman Hemby,RB,R-So.,"Edgewood, MD",John Carroll
University of Maryland,Nolan Ray,RB,Fr.,"Southfield, MI",Brother Rice
University of Maryland,Kevis Thomas,DB,Fr.,"Perry, FL",Lowndes
University of Maryland,Ricardo Cooper Jr.,WR,Fr.,"Baltimore, MD",Calvert Hall
University of Maryland,Gavin Gibson,DB,So.,"Hickory, NC",William Amos Hough
University of Maryland,Caleb Atogho,DB,So.,"Baltimore, MD",Franklin
University of Maryland,Eli Mason,RB,So.,"Ashburn, VA",Stone Bridge
University of Maryland,Taylor Best,WR,Fr.,"Chevy Chase, MD",Landon School
University of Maryland,Ian Maloney,LB,R-So.,"Belle Vernon, PA",Belle Vernon Area
University of Maryland,J'Mar Branion,DB,Fr.,"Durham, NC",Avon Old Farms
University of Maryland,Michael Harris,LB,Fr.,"Apopka, FL",Lake Brantley
University of Maryland,Mykel Morman,DB,Fr.,"District Heights, MD",Wise
